period,value
0,238.304513848
1,236.234153065
2,250.147240454
3,241.738067126
4,247.116926514
5,237.991938657
6,251.087864228
7,261.488683112
8,240.758433259
9,254.078870795
10,257.053546034
11,258.845994859
12,252.676302608
13,250.984174538
14,292.791372913
15,288.132215126
16,287.39899495
17,292.661122054
18,282.746214515
19,296.866940009
20,284.195447201
21,284.176788169
22,295.518605586
23,294.652117417
24,324.556361481
25,336.260659293
26,309.058483155
27,332.977809568
28,331.54832619
29,349.542896771
30,349.269873411
31,358.502862592
32,376.404607385
33,360.647951746
34,384.639808599
35,371.76867982
36,415.584369513
37,407.20531047
38,400.398262902
39,408.996197693
40,408.927621395
41,435.489183474
42,440.777274367
43,459.858905717
44,444.663953077
45,457.477843794
46,488.233352819
47,502.526788021
48,496.320847711
49,501.743860677
50,508.045047123
51,527.423015478
52,541.443671056
53,537.160120743
54,558.416822243
55,553.449958339
56,584.132896199
57,604.024453637
58,587.527685838
59,604.247950591
60,636.774642918
61,620.204451715
62,627.605428948
63,638.372410261
64,673.391969048
65,660.259794838
66,675.582347665
67,689.86445939
68,686.77888826
69,734.569634585
70,733.866071212
71,742.031920833
72,763.137253312
73,744.674210244
74,760.148029908
75,772.78721302
76,779.858354367
77,818.43466185
78,830.964512446
79,806.538810889
80,848.96584572
81,865.37151591
82,873.758798082
83,874.886878725
84,894.360051295
85,901.552822873
86,903.214792072
87,910.162606098
88,907.891640104
89,926.782531433
90,936.71545359
91,970.307196802
92,979.31924146
93,955.084396172
94,961.832867942
95,1001.37220098
96,998.957297863
97,1023.48499795
98,1020.88035516
99,1014.50238683
100,1032.71404019
101,1054.05254944
102,1053.97729108
103,1070.11949296
104,1060.47639267
105,1070.25049553
106,1099.99557727
107,1078.81490436
108,1101.02813696
109,1123.11526167
110,1121.85122589
111,1132.43145171
112,1115.61283874
113,1150.56276124
114,1141.95826448
115,1149.7474068
116,1143.15786773
117,1163.16079308
118,1155.48305493
119,1164.40302747
120,1201.19383726
121,1181.64597539
122,1194.52369661
123,1209.7962253
124,1202.16076826
125,1219.54395357
126,1200.81980542
127,1224.61917143
128,1232.21467736
129,1205.98204974
130,1228.66549785
131,1212.01787919
132,1223.400576
133,1229.14405139
134,1224.659756
135,1249.27467695
136,1259.22597218
137,1241.29512183
138,1256.58562784
139,1237.46492997
140,1251.69055519
141,1244.49642721
142,1244.22601808
143,1239.72459026
144,1260.74475704
145,1243.36522029
146,1241.25428954
147,1264.48052904
148,1230.87243245
149,1236.06673504
150,1244.67105754
151,1227.05081142
152,1251.42007031
153,1255.52696963
154,1221.68437597
155,1233.97096545
156,1230.59301969
157,1218.89112588
158,1232.65991515
159,1240.07841395
160,1202.77350687
161,1198.07098133
162,1224.94474901
163,1226.44416403
164,1197.0528356
165,1195.19364935
166,1210.2151209
167,1181.80648008
168,1188.15797344
169,1191.13519519
170,1170.16881835
171,1147.4614545
172,1151.60884911
173,1147.60230756
174,1162.82944676
175,1139.28283839
176,1113.89999649
177,1113.691756
178,1111.55236999
179,1115.42363024
180,1093.96276397
181,1086.91889368
182,1106.08927435
183,1081.24624732
184,1055.79694525
185,1069.55363937
186,1048.79401039
187,1051.75329882
188,1053.94815121
189,1046.2130195
190,1001.57691663
191,1010.08801518
192,997.70943565
193,975.184943912
194,992.479849071
195,987.809977867
196,958.775346094
197,962.309756375
198,921.79169969
199,943.761943462
200,903.57487299
201,923.734009372
202,881.721889287
203,896.265369514
204,874.763683514
205,882.497272989
206,854.789722429
207,835.612279346
208,855.676075363
209,814.440863553
210,807.222821234
211,801.604159718
212,789.454880942
213,778.144305631
214,782.955283965
215,774.86330393
216,766.529299222
217,728.69810041
218,746.52864238
219,712.121263158
220,688.256900784
221,686.299920273
222,674.016578793
223,662.375465743
224,652.328776021
225,668.345568882
226,653.15733446
227,637.619458585
228,630.564467624
229,605.130923018
230,609.736861023
231,597.409574109
232,570.140117234
233,587.422153668
234,539.218145753
235,556.531778249
236,545.043814572
237,509.348888127
238,526.436285103
239,500.428128654
240,489.715291158
241,507.002002823
242,463.693320369
243,458.31598515
244,467.729175949
245,444.807148834
246,439.672750691
247,430.384931128
248,413.129564604
249,433.204481551
250,421.037961839
251,405.802519884
252,397.158318713
253,401.918810633
254,362.470851584
255,365.748100543
256,385.675640123
257,359.207908295
258,337.60349568
259,350.873058078
260,353.927172412
261,349.147606095
262,336.372838544
263,318.026098347
264,310.182188204
265,316.013715786
266,308.9855239
267,305.579282355
268,297.329356837
269,283.492878205
270,297.701313527
271,296.142554276
272,267.790525892
273,276.96782639
274,266.313288474
275,256.431249308
276,272.156181666
277,271.868590989
278,255.338271991
279,274.151508199
280,256.307736267
281,262.04180494
282,240.866395426
283,259.365591619
284,263.931232967
285,242.159219846
286,263.859493996
287,260.484810059
288,245.447339284
289,255.448307386
290,257.445479839
291,244.169261855
292,233.429313247
293,271.469910623
294,270.675144001
295,266.487776484
296,240.310945829
297,255.243509948
298,244.382152329
299,276.506292288
300,271.786493386
301,272.024579374
302,262.736353589
303,267.339711671
304,297.90133705
305,272.895664817
306,294.921677364
307,286.904423119
308,282.802771819
309,318.286741977
310,309.60824377
311,308.848668723
312,304.697313188
313,319.578955345
314,347.770406346
315,341.683386028
316,340.402260799
317,347.667844875
318,371.241475456
319,357.086650196
320,361.283483821
321,371.11812612
322,394.166231451
323,374.144792221
324,403.660162889
325,397.909234591
326,400.391511051
327,438.182278798
328,444.817365642
329,425.734338317
330,463.867531285
331,460.275641365
332,483.205443808
333,464.497635231
334,470.185553104
335,484.936189299
336,490.350155333
337,519.410015411
338,504.6886865
339,522.865334514
340,520.158387727
341,555.580495697
342,567.613109695
343,570.243344361
344,562.210649032
345,598.379217389
346,604.062935186
347,612.287656186
348,622.403080609
349,619.589721345
350,657.871480282
351,644.284203927
352,654.833266886
353,671.997648277
354,664.768148802
355,693.167352167
356,705.686665868
357,712.583620467
358,738.091465398
359,721.392453001
360,755.883406173
361,756.499106496
362,761.824896373
363,787.755047567
364,779.904007886
365,817.506600545
366,830.710041463
367,844.044887411
368,836.496058026
369,859.11712585
370,872.097351371
371,875.276399436
372,867.056061781
373,904.632490151
374,914.713512079
375,930.645571385
376,940.698339603
377,935.483257367
378,928.172738495
379,943.070511357
380,946.141585114
381,951.630615263
382,962.589272272
383,1003.9485275
384,992.293132798
385,990.417702623
386,1005.10786383
387,1017.27362052
388,1046.60832074
389,1031.56414271
390,1053.94934404
391,1044.92678948
392,1085.05346264
393,1064.68802256
394,1094.88600327
395,1112.83059825
396,1090.9211414
397,1111.77168915
398,1098.91620327
399,1114.00005512
400,1141.31081149
401,1139.80824946
402,1142.39524754
403,1149.65135175
404,1160.53357952
405,1170.49262154
406,1174.7370665
407,1168.64940628
408,1191.66513345
409,1184.04017695
410,1178.86356491
411,1212.40741052
412,1218.82756026
413,1220.99637239
414,1212.02414362
415,1206.51003141
416,1202.3343834
417,1206.55083812
418,1211.33233335
419,1236.01058672
420,1218.0004216
421,1225.40173116
422,1239.21542345
423,1243.05271266
424,1228.46893081
425,1257.15334462
426,1232.41457241
427,1259.76762103
428,1232.10528917
429,1230.86510016
430,1253.39060605
431,1249.2274066
432,1237.58934452
433,1258.65565942
434,1250.28761351
435,1254.11264684
436,1238.80845187
437,1233.86100309
438,1234.62037068
439,1225.83871052
440,1243.24450999
441,1242.31937628
442,1233.08350695
443,1221.9410281
444,1235.79567387
445,1213.96984017
446,1220.23403641
447,1216.06999671
448,1217.04437139
449,1205.56870346
450,1206.81994491
451,1209.47479334
452,1209.6548531
453,1185.81688747
454,1174.15324582
455,1187.56903017
456,1197.1109166
457,1181.58849379
458,1166.02044152
459,1160.73958674
460,1175.41419815
461,1154.88343017
462,1165.57084337
463,1134.01840422
464,1143.58285532
465,1119.11702812
466,1112.02687437
467,1093.87184292
468,1109.67886767
469,1104.84966256
470,1093.32473357
471,1067.97850049
472,1063.17491743
473,1046.92965173
474,1053.53223596
475,1031.90225774
476,1047.80289183
477,1011.63500501
478,1030.91071537
479,1010.46084318
480,980.814584856
481,976.664134303
482,986.140621135
483,960.798807434
484,959.226264195
485,946.949877101
486,954.041375598
487,934.939423241
488,936.403495663
489,918.668461932
490,888.336234829
491,905.429183942
492,863.459752532
493,887.310219316
494,878.162546407
495,853.65020695
496,855.170041634
497,809.668020227
498,825.528835242
499,786.664156019
500,807.483448521
501,765.437289973
502,772.907847378
503,771.03780538
504,759.77847848
505,738.484189367
506,722.322960653
507,716.404179235
508,708.179945172
509,708.682398332
510,690.727993129
511,659.974199035
512,677.413809821
513,632.818351877
514,659.599483619
515,621.494475229
516,624.685152512
517,604.217023962
518,592.369843505
519,578.038375241
520,581.415529997
521,573.803939781
522,548.170756755
523,567.246037542
524,538.65111355
525,545.072500145
526,527.742183723
527,515.568997511
528,482.509067162
529,490.58980847
530,497.486048704
531,465.271807636
532,446.369311966
533,464.44505756
534,465.251831564
535,451.859538818
536,413.8423299
537,440.041174259
538,405.872495489
539,417.988165276
540,393.68650549
541,405.671923606
542,385.829053154
543,369.698196254
544,374.998696385
545,346.81025641
546,350.849404956
547,333.845083437
548,323.370678726
549,327.174214684
550,316.457093613
551,333.535833525
552,328.442647236
553,295.012062693
554,287.299563285
555,310.920427687
556,299.706260088
557,285.347925891
558,278.579465468
559,279.06880786
560,285.557517672
561,265.063876804
562,290.209456844
563,254.93362618
564,265.983479366
565,263.371108396
566,276.378759263
567,255.02351931
568,248.693161012
569,255.56470788
570,239.894044592
571,240.158596149
572,242.650454291
573,236.069975189
574,251.64008962
575,262.118608352
576,261.304320412
577,250.708093927
578,267.053678397
579,247.383150273
580,234.093443309
581,235.633454338
582,251.418544041
583,238.344513398
584,260.097605467
585,268.145912937
586,278.026734966
587,258.868610955
588,279.486958046
589,275.974576663
590,258.754467038
591,282.389761184
592,292.473751275
593,302.716307084
594,290.557708509
595,286.821803005
596,309.996549102
597,305.931061961
598,297.529724517
599,320.983353615
600,297.661700284
601,311.3597363
602,337.313994402
603,337.313865709
604,332.273897961
605,359.796393423
606,339.165405626
607,354.465841568
608,355.213923753
609,364.332893358
610,389.993664875
611,408.501468874
612,410.640928601
613,404.103432978
614,395.816403904
615,412.353979551
616,409.49114776
617,430.582065977
618,465.265082386
619,446.007378081
620,478.695421219
621,483.104743858
622,468.992550572
623,483.841167809
624,498.811148272
625,511.538140895
626,505.98852636
627,522.908701688
628,520.911832489
629,530.827397579
630,555.723271546
631,568.102050093
632,567.161134222
633,573.335511753
634,598.107107899
635,606.704306089
636,636.81957492
637,646.816333596
638,646.042448396
639,645.736615294
640,657.150852874
641,659.923351045
642,691.070292142
643,697.06967618
644,702.527831599
645,731.925182799
646,712.928042782
647,755.076689783
648,767.461804203
649,752.831137331
650,765.499583332
651,769.119398232
652,799.56114734
653,790.806775695
654,834.034018008
655,836.533478717
656,831.469150439
657,835.422682575
658,861.395002064
659,881.391793665
660,862.04643014
661,888.640938976
662,915.776155191
663,926.11321053
664,934.782635597
665,936.55116527
666,929.2124404
667,963.877018795
668,978.309060301
669,957.478942027
670,973.416699937
671,1004.88316527
672,1013.8405175
673,1029.28095075
674,1016.69011767
675,1009.14374421
676,1042.6413291
677,1054.40791441
678,1037.8576909
679,1052.43546088
680,1053.21061289
681,1080.60313076
682,1089.11073609
683,1095.13505859
684,1083.94231947
685,1120.28304556
686,1101.97275451
687,1106.22450553
688,1122.06549588
689,1154.06689634
690,1144.37543858
691,1161.32157586
692,1169.99432908
693,1183.44569469
694,1175.18682271
695,1163.56709977
696,1182.2250532
697,1183.63552409
698,1174.52921075
699,1198.33796197
700,1211.44684964
701,1192.81038058
702,1201.01204628
703,1207.51650843
704,1203.90128836
705,1210.44172687
706,1236.38870479
707,1227.10306496
708,1220.26842749
709,1242.94452653
710,1251.10508198
711,1259.90812862
712,1231.39744423
713,1257.14137332
714,1251.80861949
715,1256.18961201
716,1229.00663519
717,1259.13882143
718,1239.32560974
719,1231.38501043
720,1250.99775886
721,1258.3303647
722,1242.498165
723,1253.04031768
724,1228.11917684
725,1236.59277853
726,1253.79904526
727,1249.21935838
728,1244.1208583
729,1234.9570292
730,1254.02444147
731,1234.41850809
732,1240.58630756
733,1231.21730949
734,1218.16128576
735,1236.32212986
736,1222.46431522
737,1202.60075368
738,1200.70095453
739,1206.85236379
740,1213.19467371
741,1193.17967866
742,1207.03941504
743,1182.09366777
744,1189.19851269
745,1158.93246794
746,1174.12676042
747,1151.88937104
748,1173.47426759
749,1157.94126682
750,1163.89250032
